,Sequence_ids,Sequence_times,SessionTime_Reference
0,"[23, 33, 34]","[0.5337999999999852, 0.19989999999999952, 0.3544000000000125]","[64.46990000000001, 65.0037, 65.2036]"
1,[26],[0.35499999999998977],[72.7009]
2,"[66, 63, 37, 76, 61, 12]","[0.19889999999999475, 0.4052999999999969, 0.36710000000000775, 1.7667000000000002, 1.4621999999999957, 0.41310000000001423]","[73.07730000000001, 73.2762, 73.6815, 74.04860000000001, 75.81530000000001, 77.2775]"
3,[22],[0.06699999999999307],[77.69060000000002]
4,"[26, 63, 37, 76, 62]","[0.409000000000006, 0.278499999999994, 0.370199999999997, 1.0195000000000078, 0.479699999999994]","[77.75760000000001, 78.16660000000002, 78.44510000000001, 78.81530000000001, 79.83480000000002]"
5,[21],[0.26130000000000564],[80.31450000000001]
6,"[43, 32]","[0.43420000000000414, 0.5786999999999978]","[86.9802, 87.4144]"
7,"[21, 13, 37, 72]","[0.30759999999999366, 0.5640000000000072, 0.26849999999998886, 0.6813000000000073]","[87.9931, 88.30069999999999, 88.8647, 89.13319999999999]"
8,"[66, 63, 37, 76, 62]","[0.17360000000000753, 0.2960999999999956, 0.29189999999999827, 0.7535000000000025, 0.6638999999999982]","[95.32459999999999, 95.4982, 95.79429999999999, 96.08619999999999, 96.8397]"
9,"[21, 16, 63, 37]","[0.2849999999999966, 0.45050000000000523, 0.18120000000000402, 0.3202999999999889]","[97.50359999999999, 97.78859999999999, 98.2391, 98.4203]"
10,"[31, 11, 12]","[0.7279999999999944, 0.29050000000000864, 1.4013999999999953]","[109.8494, 110.5774, 110.8679]"
11,"[21, 13, 37]","[0.5170999999999992, 0.8038999999999987, 0.29120000000000346]","[112.2693, 112.7864, 113.5903]"
12,"[21, 16, 63, 37, 76, 62]","[0.4314999999999998, 0.2926999999999964, 0.21509999999999252, 0.406400000000005, 1.813600000000008, 0.5292999999999921]","[116.43610000000001, 116.86760000000001, 117.1603, 117.3754, 117.7818, 119.59540000000001]"
13,[22],[0.29810000000000514],[120.1247]
14,"[21, 16, 63, 37, 72]","[0.3246999999999929, 0.362000000000009, 0.20009999999999195, 0.3008999999999986, 0.8552999999999997]","[120.42280000000001, 120.7475, 121.10950000000001, 121.3096, 121.6105]"
15,"[21, 16, 63, 37, 72]","[0.27479999999999905, 0.2916000000000025, 0.2126999999999981, 0.2592999999999961, 0.9435000000000002]","[122.4658, 122.7406, 123.0322, 123.2449, 123.5042]"
16,[22],[0.984099999999998],[124.4477]
17,"[21, 16, 63, 37, 76, 61, 11, 11]","[0.5724000000000018, 0.37300000000000466, 0.22050000000000125, 0.29049999999999443, 0.5837999999999965, 0.5889000000000095, 0.9164000000000101, 0.13709999999997535]","[125.4318, 126.0042, 126.3772, 126.5977, 126.8882, 127.472, 128.0609, 128.9773]"
18,"[43, 32]","[0.3007999999999811, 0.26770000000001914]","[139.8778, 140.1786]"
19,"[21, 16, 63, 37]","[0.27490000000000236, 0.43189999999998463, 0.29470000000000596, 0.30330000000000723]","[140.4463, 140.7212, 141.1531, 141.4478]"
20,[12],[1.5426000000000215],[154.66649999999998]
21,"[21, 16, 63, 37, 72]","[0.6007999999999925, 0.3497999999999877, 0.19599999999999795, 0.5264000000000237, 0.6838999999999942]","[156.2091, 156.8099, 157.1597, 157.35569999999998, 157.8821]"
22,"[21, 16, 63, 37, 72]","[0.31639999999998736, 0.3351000000000113, 0.19139999999998736, 0.2827000000000055, 0.8025000000000091]","[158.566, 158.8824, 159.2175, 159.4089, 159.6916]"
23,"[21, 16, 63, 37, 76, 65, 51]","[0.3602000000000203, 0.42219999999997526, 0.19840000000002078, 0.32229999999998427, 0.6283999999999992, 0.4638999999999953, 0.8146999999999878]","[160.4941, 160.85430000000002, 161.2765, 161.47490000000002, 161.7972, 162.4256, 162.8895]"
24,"[26, 63, 37, 72]","[0.3463000000000136, 0.2763999999999953, 0.29470000000000596, 1.0301999999999794]","[166.4174, 166.7637, 167.0401, 167.3348]"
25,"[21, 16, 63, 37, 72]","[0.42500000000001137, 0.23259999999999081, 0.31280000000000996, 0.2991000000000099, 1.129099999999994]","[168.36499999999998, 168.79, 169.02259999999998, 169.3354, 169.6345]"
26,"[21, 16, 63, 37, 74, 44, 43, 33, 32]","[0.345799999999997, 0.38900000000001, 0.21359999999998536, 0.38749999999998863, 1.0983000000000231, 1.4450999999999965, 0.2685999999999922, 0.11109999999999332, 0.2593999999999994]","[170.7636, 171.1094, 171.4984, 171.712, 172.09949999999998, 173.1978, 174.6429, 174.9115, 175.02259999999998]"
27,"[21, 16, 66, 63, 37, 77, 72]","[0.2989000000000033, 0.323599999999999, 0.11549999999999727, 0.3432999999999993, 0.25310000000001764, 1.171699999999987, 1.3876999999999953]","[175.28199999999998, 175.58089999999999, 175.90449999999998, 176.01999999999998, 176.36329999999998, 176.6164, 177.7881]"
28,"[21, 16, 63, 37]","[0.3310999999999922, 0.28400000000002024, 0.2831999999999937, 0.2586000000000013]","[179.17579999999998, 179.50689999999997, 179.7909, 180.0741]"
29,"[21, 16, 63, 37]","[0.3199000000000183, 0.33619999999999095, 0.24399999999999977, 0.23850000000001614]","[182.7463, 183.0662, 183.4024, 183.6464]"
30,[22],[0.35900000000000887],[186.4933]
