,Group,error scores,"error breakdown [seq,spatial,repeat,other]",pscores,tscores,transition_matrix,animal,type,mean latencies,standard dev latencies
0,Early Learning,[0.24671735 0.67104354 0.08223912],[0.38722966 0.02780639 0.54788877 0.03707518],"[0.07294685990338164, 0.18518518518518517, 0.5252525252525253]","[0.6280193236714975, 0.3333333333333333, 0.7575757575757576]","[[5.0, 5.0, 5.0, 11.0], [0.0, 0.0, 0.0, 0.0], [5.0, 11.0, 11.0, 31.0], [16.0, 5.0, 26.0, 166.0], [61.0, 31.0, 72.0, 192.0], [101.0, 110.0, 94.0, 7.0], [146.0, 184.0, 48.0, 9.0], [140.0, 72.0, 99.0, 75.0]]",EJT101,control,1.1432583596214452,0.43080555096882667
1,Pre Lesion,[0.74386268 0.25182202 0.0043153 ],[0.34805788 0.01637471 0.63290175 0.00266565],"[0.78125, 0.7881914893617022, 0.796108202443281]","[0.8595679012345679, 0.924468085106383, 0.9491423585140862]","[[5.0, 5.0, 4.0, 1.0], [0.0, 0.0, 0.0, 0.0], [5.0, 4.0, 1.0, 5.0], [18.0, 2.0, 37.0, 1792.0], [71.0, 66.0, 1663.0, 523.0], [283.0, 1612.0, 479.0, 6.0], [1547.0, 169.0, 101.0, 23.0], [353.0, 98.0, 117.0, 96.0]]",EJT101,control,0.33671665400394984,0.12564187300195281
2,Post Lesion,[0.73199318 0.25422645 0.01378037],[0.42944957 0.03827885 0.51019838 0.0220732 ],"[0.7014035087719297, 0.636844331641286, 0.736229415105054, 0.8275145469659185, 0.839924670433145]","[0.9508771929824561, 0.9373096446700508, 0.9268881317433275, 0.9733167082294265, 0.96045197740113]","[[3.0, 5.0, 4.0, 8.0], [12.0, 32.0, 9.0, 5.0], [4.0, 4.0, 5.0, 14.0], [27.0, 11.0, 117.0, 2539.0], [68.0, 182.0, 2320.0, 700.0], [393.0, 2209.0, 393.0, 14.0], [1960.0, 199.0, 169.0, 99.0], [354.0, 78.0, 75.0, 157.0]]",EJT101,control,0.3358757575757561,0.13058756113632858
0,Early Learning,[0.35364112 0.56544503 0.08091385],[0.45117845 0.07996633 0.3956229  0.07323232],"[0.034482758620689655, 0.35760517799352753, 0.47644927536231885]","[0.47413793103448276, 0.7103559870550161, 0.7608695652173914]","[[0.0, 1.0, 5.0, 4.0], [7.0, 51.0, 18.0, 2.0], [11.0, 11.0, 5.0, 19.0], [7.0, 3.0, 108.0, 231.0], [89.0, 32.0, 149.0, 187.0], [86.0, 180.0, 89.0, 28.0], [301.0, 152.0, 33.0, 13.0], [122.0, 117.0, 79.0, 114.0]]",EJT147,control,1.0898394342762026,0.4542019325144304
1,Pre Lesion,[0.83601571 0.16195666 0.00202763],[0.30907668 0.03599374 0.65062598 0.0043036 ],"[0.9446666666666668, 0.9476695796920517, 0.8224540152534769]","[0.978, 0.9950062421972534, 0.9946164199192463]","[[1.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0], [1.0, 2.0, 0.0, 3.0], [15.0, 3.0, 77.0, 3125.0], [78.0, 31.0, 2948.0, 995.0], [255.0, 2776.0, 143.0, 1.0], [2584.0, 304.0, 2.0, 6.0], [178.0, 75.0, 17.0, 83.0]]",EJT147,control,0.322709473684209,0.10639238334960988
2,Post Lesion,[0.8394107  0.15658162 0.00400768],[0.3370584  0.16186013 0.48954578 0.01153569],"[0.9204946996466431, 0.9186567164179105, 0.7146029793631269]","[0.9910875539850805, 0.9915422885572139, 0.9774497744977451]","[[0.0, 2.0, 1.0, 2.0], [0.0, 0.0, 0.0, 0.0], [3.0, 10.0, 1.0, 15.0], [17.0, 7.0, 430.0, 3240.0], [90.0, 70.0, 3044.0, 728.0], [259.0, 3230.0, 76.0, 1.0], [3028.0, 323.0, 13.0, 9.0], [180.0, 130.0, 17.0, 74.0]]",EJT147,control,0.311473981792047,0.10354758112829282
0,Early Learning,[0.3664     0.55253333 0.08106667],[0.51544402 0.03185328 0.38030888 0.07239382],"[0.0, 0.2911392405063291, 0.6781914893617021]","[0.6182170542635659, 0.7246835443037974, 0.824468085106383]","[[3.0, 3.0, 3.0, 9.0], [8.0, 48.0, 14.0, 3.0], [8.0, 4.0, 6.0, 21.0], [10.0, 6.0, 40.0, 257.0], [102.0, 23.0, 157.0, 103.0], [84.0, 149.0, 65.0, 17.0], [203.0, 142.0, 49.0, 24.0], [123.0, 94.0, 101.0, 66.0]]",EJT148,control,1.00824300518134,0.3911703153067185
1,Pre Lesion,[0.73273069 0.26267113 0.00459818],[0.36662025 0.10105431 0.52357271 0.00875274],"[0.8040690104166667, 0.7470869746150645, 0.7382985452245414]","[0.98125, 0.981751976695797, 0.9665717900063251]","[[2.0, 0.0, 2.0, 3.0], [9.0, 24.0, 7.0, 0.0], [4.0, 1.0, 2.0, 3.0], [15.0, 29.0, 473.0, 3532.0], [45.0, 209.0, 2490.0, 759.0], [134.0, 2859.0, 308.0, 2.0], [3098.0, 388.0, 7.0, 28.0], [413.0, 224.0, 58.0, 164.0]]",EJT148,control,0.34230094600250915,0.1326352724932532
2,Post Lesion,[0.69125182 0.30432032 0.00442786],[0.35647475 0.0802328  0.55622532 0.00706714],"[0.7635741265344663, 0.7195238095238095, 0.6970916057122953]","[0.9848048473402581, 0.9884920634920634, 0.9826267602129671]","[[1.0, 2.0, 0.0, 3.0], [3.0, 17.0, 5.0, 1.0], [2.0, 3.0, 1.0, 3.0], [15.0, 28.0, 354.0, 2967.0], [62.0, 276.0, 1786.0, 751.0], [128.0, 2037.0, 192.0, 4.0], [2368.0, 423.0, 3.0, 6.0], [380.0, 182.0, 54.0, 69.0]]",EJT148,control,0.352275536105033,0.13842109881179873
0,Early Learning,[0.37733193 0.55086237 0.0718057 ],[0.40127796 0.05047923 0.51182109 0.03642173],"[0.057471264367816084, 0.2620772946859904, 0.7040816326530612]","[0.4827586206896552, 0.7946859903381643, 0.9077380952380952]","[[4.0, 8.0, 6.0, 4.0], [0.0, 0.0, 0.0, 0.0], [10.0, 16.0, 11.0, 34.0], [29.0, 10.0, 84.0, 373.0], [110.0, 19.0, 225.0, 209.0], [114.0, 280.0, 152.0, 13.0], [329.0, 129.0, 59.0, 15.0], [270.0, 117.0, 97.0, 139.0]]",EJT174,control,0.9691117710583075,0.4244822185024021
